count,stocks1,stocks2,percent2,percent1
0,4,4,0,0
1,4,4,0,0
2,4,4,0,0
3,4,4,0,0
4,4,4,0,0
5,4,4,0,0
6,4,4,0,0
7,4,4,0,0
8,4,4,0,0
9,4,4,0,0
10,4,4,0,0
11,4,4,0,0
12,4,4,0,0
13,4,4,0,6
14,4,4,0,6
15,4,4,0,6
16,4,4,0,8
17,4,4,0,11
18,4,4,0,11
19,4,4,0,19
20,4,4,0,19
21,4,4,0,19
22,4,4,0,19
23,4,4,4,20
24,4,4,4,20
25,4,4,4,20
26,4,4,4,20
27,4,4,4,20
28,4,4,4,20
29,4,4,4,20
30,4,4,4,20
31,4,4,7,20
32,4,4,7,20
33,4,4,7,20
34,4,4,7,20
35,4,4,7,20
36,4,4,7,20
37,4,4,7,20
38,4,4,7,20
39,4,4,7,20
40,4,4,7,33
41,4,4,7,33
42,4,4,7,33
43,4,4,7,33
44,4,4,7,33
45,4,4,7,33
46,4,4,7,33
47,4,4,7,33
48,4,4,7,33
49,4,4,7,33
50,4,4,7,34
51,4,4,7,37
52,4,4,7,45
53,4,4,7,45
54,4,4,7,45
55,4,4,7,45
56,4,4,7,45
57,4,4,7,46
58,4,4,7,46
59,4,4,7,46
60,4,4,7,46
61,4,4,7,48
62,4,4,7,50
63,4,4,7,58
64,4,4,7,58
65,4,4,7,58
66,4,4,7,58
67,4,4,7,58
68,4,4,7,58
69,4,4,7,58
70,4,4,7,58
71,4,4,7,58
72,4,4,7,58
73,4,4,7,58
74,4,4,7,65
75,4,4,7,65
76,4,4,7,65
77,4,4,7,65
78,4,4,7,65
79,4,4,7,65
80,4,4,7,65
81,4,4,7,65
82,4,4,7,65
83,4,4,7,65
84,4,4,7,65
85,4,4,7,65
86,4,4,7,65
87,4,4,7,65
88,4,4,7,65
89,4,4,7,65
90,4,4,7,65
91,4,4,7,65
92,4,4,7,65
93,4,4,7,65
94,4,4,7,65
95,4,4,7,65
96,4,4,7,65
97,4,4,7,65
98,4,4,7,65
99,4,4,7,65
